height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,shotOnTarget,shotOffTarget,shotOnPost,shotBlocked,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,shotsTotal,ranking
193,83,30,FALSE,TRUE,-DC-,D(C),England,eg,EPL,1,0,0,0,0,0,Ahmed Hegazi,Ahmed El-Sayed,Hegazi,108724,Defender,175,West Bromwich Albion,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.93,90,0,81
180,74,31,FALSE,TRUE,-DC-DL-,D(CL),England,gb-eng,EPL,30,0,7,14,1,1,Ben Mee,Ben,Mee,94935,Defender,184,Burnley,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.926,2694,22,82
0,0,19,FALSE,TRUE,,Forward,England,se,EPL,2,0,1,1,0,0,Anthony Elanga,Anthony,Elanga,413211,Forward,32,Manchester United,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.925,156,2,83
169,64,28,FALSE,TRUE,-MC-,M(C),England,br,EPL,30,0,7,9,0,9,Fred,Frederico,Rodrigues de Paula Santos,114397,Midfielder,32,Manchester United,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.920666667,2397,25,84
185,80,23,FALSE,TRUE,-DC-DR-,D(CR),England,nl,EPL,1,0,0,0,0,1,Timothy Fosu-Mensah,Timothy,Fosu-Mensah,312739,Defender,32,Manchester United,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.92,81,1,85
178,76,31,FALSE,TRUE,-DC-DL-DR-MR-,"D(CLR),M(R)",England,es,EPL,26,0,5,5,0,1,César Azpilicueta,César,Azpilicueta,25931,Defender,15,Chelsea,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.916153846,2191,11,86
174,71,23,FALSE,TRUE,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,gb-eng,EPL,34,0,23,24,1,22,Ademola Lookman,Ademola,Lookman,299451,Forward,170,Fulham,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.915294118,2756,69,87
191,82,28,FALSE,TRUE,-DC-DR-,D(CR),England,gb-eng,EPL,35,0,6,9,0,1,Michael Keane,Michael,Keane,107941,Defender,31,Everton,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.915142857,2990,16,88
186,76,24,FALSE,TRUE,-DC-,D(C),England,pt,EPL,32,0,6,7,0,1,Rúben Dias,Rúben Santos,Gato Alves Dias,313171,Defender,167,Manchester City,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.9096875,2845,14,89
183,79,36,FALSE,TRUE,-DC-,D(C),England,br,EPL,23,0,4,5,0,4,Thiago Silva,Thiago Emiliano,da Silva,28550,Defender,15,Chelsea,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.906956522,1938,13,90
190,76,30,FALSE,TRUE,-FW-,FW,England,mx,EPL,10,0,10,12,2,4,Raúl Jiménez,Raúl,Jiménez,108186,Forward,161,Wolverhampton Wanderers,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.906,825,26,91
193,74,21,FALSE,TRUE,-GK-,GK,England,fr,EPL,35,0,0,0,0,0,Illan Meslier,Illan,Meslier,380580,Goalkeeper,19,Leeds,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.905714286,3150,0,92
186,75,27,FALSE,TRUE,-DC-DMC-,"D(C),DMC",England,es,EPL,15,0,3,2,0,3,Diego Llorente,Diego,Llorente,123232,Defender,19,Leeds,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.903333333,1206,8,93
183,70,25,FALSE,TRUE,-DL-ML-,"D(L),M(L)",England,gb-eng,EPL,38,0,2,2,0,2,Matt Targett,Matt,Targett,136776,Defender,24,Aston Villa,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.902631579,3405,6,94
188,84,30,FALSE,TRUE,-DC-DL-ML-,"D(CL),M(L)",England,es,EPL,13,0,10,4,0,8,Marcos Alonso,Marcos,Alonso,84008,Defender,15,Chelsea,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.9,960,22,95
177,67,27,FALSE,TRUE,-DL-DR-MR-,"D(LR),M(R)",England,pt,EPL,34,0,11,6,0,6,Nélson Semedo,Nélson,Cabral Semedo,296363,Defender,161,Wolverhampton Wanderers,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.899411765,2988,23,96
178,68,24,FALSE,TRUE,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,pt,EPL,19,0,26,15,1,5,Diogo Jota,Diogo José,Teixeira da Silva,235755,Forward,26,Liverpool,8228,2020/2021,TRUE,2,252,gb-eng,England,Premier League,6.893684211,1113,46,97
