height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,passTotal,passLongBallAccurate,passLongBallInaccurate,shortPassAccurate,shortPassInaccurate,ranking
175,73,25,false,true,-DL-DR-FW-MC-ML-MR-,"D(LR),M(CLR),FW",Spain,es,SLL,35,0,Alex Berenguer,Alejandro,Berenguer Remiro,238899,Forward,53,Athletic Bilbao,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.8279999999999985,2289,753,11,27,556,159,69
175,65,34,false,true,-AMC-AML-,AM(CL),Spain,es,SLL,36,0,Nolito,Manuel,Agudo Durán,91267,Forward,62,Celta Vigo,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.827777777777778,2628,938,43,41,665,189,70
186,76,26,false,true,-AMC-AML-AMR-,AM(CLR),Spain,be,SLL,27,0,Adnan Januzaj,Adnan,Januzaj,130334,Midfielder,68,Real Sociedad,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.8277777777777775,1011,476,25,21,338,92,71
170,65,28,false,true,-AMC-AML-AMR-,AM(CLR),Spain,es,SLL,28,0,Iker Muniain,Iker,Muniain,77922,Forward,53,Athletic Bilbao,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.822499999999999,1955,946,40,15,774,117,72
0,0,20,false,true,,Defender,Spain,,SLL,4,0,Carlos Domínguez,Carlos,Domínguez,415344,Defender,62,Celta Vigo,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.82,360,157,10,14,116,17,73
184,74,26,false,true,-MC-,M(C),Spain,es,SLL,35,0,Joan Jordán,Joan,Jordán,238941,Midfielder,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.819714285714285,2424,1973,169,76,1571,157,74
176,65,31,false,true,-DL-ML-,"D(L),M(L)",Spain,es,SLL,9,0,Sergio Escudero,Sergio,Escudero,89856,Defender,67,Sevilla,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.818888888888889,567,328,12,9,278,29,75
185,72,30,false,true,-DC-DR-,D(CR),Spain,br,SLL,31,0,Gabriel Paulista,Gabriel Armando,de Abreu,76810,Defender,55,Valencia,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.8187096774193545,2717,1501,132,88,1189,92,76
189,89,30,false,true,-DC-,D(C),Spain,fr,SLL,34,0,Florian Lejeune,Florian,Lejeune,80758,Defender,60,Deportivo Alaves,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.817352941176472,3016,1463,153,182,974,154,77
186,77,32,false,true,-DC-,D(C),Spain,es,SLL,24,0,Aridane Hernández,Aridane,Hernández,93492,Defender,131,Osasuna,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.81125,2028,717,77,75,488,77,78
181,74,32,false,true,-DL-DR-MC-ML-MR-,"D(LR),M(CLR)",Spain,dk,SLL,35,0,Daniel Wass,Daniel,Wass,27254,Midfielder,55,Valencia,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.807428571428571,2991,1445,70,93,1056,226,79
175,67,26,false,true,-DMC-,DMC,Spain,es,SLL,16,0,Luis Milla,Luis,Milla,279320,Midfielder,925,Granada,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.8050000000000015,1259,502,37,35,367,63,80
184,75,26,false,true,-DC-DL-,D(CL),Spain,es,SLL,31,0,Mario Hermoso,Mario,Hermoso,344156,Defender,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.798064516129033,2584,1771,95,100,1397,179,81
180,71,27,false,true,-DC-DR-,D(CR),Spain,es,SLL,23,0,Aritz Elustondo,Aritz,Elustondo,256864,Defender,68,Real Sociedad,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.797391304347825,1887,1223,75,76,970,102,82
194,85,34,false,true,-DC-,D(C),Spain,es,SLL,19,0,Gerard Piqué,Gerard,Piqué,12712,Defender,65,Barcelona,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.795263157894736,1486,1238,68,19,1097,54,83
184,78,23,false,true,-MC-,M(C),Spain,ve,SLL,32,0,Yangel Herrera,Yangel,Herrera,318505,Midfielder,925,Granada,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.794999999999998,2314,871,25,56,561,229,84
190,77,26,false,true,-DMC-,DMC,Spain,es,SLL,25,0,Lucas Torró,Lucas,Torró,249960,Midfielder,131,Osasuna,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.791599999999999,1547,667,25,28,478,136,85
190,75,29,false,true,-FW-,FW,Spain,hr,SLL,30,0,Ante Budimir,Ante,Budimir,98126,Forward,131,Osasuna,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.79,1622,391,3,3,232,153,86
184,75,24,false,true,-GK-,GK,Spain,es,SLL,1,0,Antonio Sivera,Antonio,Sivera,141044,Goalkeeper,60,Deportivo Alaves,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.79,72,18,4,11,3,0,87
172,68,29,false,true,-MC-ML-MR-,M(CLR),Spain,br,SLL,12,0,Philippe Coutinho,Philippe,Coutinho Correia,80767,Midfielder,65,Barcelona,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.785833333333333,657,485,8,8,424,45,88
180,76,31,false,true,-DC-DL-DR-,D(CLR),Spain,es,SLL,24,0,Nacho,Jose Ignacio,Fernandez Iglesias,106875,Defender,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.783333333333332,2000,1199,68,43,1017,71,89
182,78,22,false,true,-MC-ML-MR-,M(CLR),Spain,uy,SLL,24,0,Federico Valverde,Federico,Valverde,344644,Midfielder,52,Real Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.7825,1333,743,47,13,614,69,90
171,72,27,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",Spain,es,SLL,37,0,Rubén García,Rubén,García,119189,Midfielder,131,Osasuna,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.780810810810809,2739,1014,72,44,630,268,91
185,80,26,false,true,-DC-DR-,D(CR),Spain,uy,SLL,21,0,José Giménez,José,Giménez,135914,Defender,63,Atletico Madrid,8321,2020/2021,true,4,206,es,Spain,LaLiga,6.778095238095237,1766,1102,87,69,877,69,92
