height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,tacklePerGame,interceptionPerGame,foulsPerGame,offsideWonPerGame,clearancePerGame,wasDribbledPerGame,outfielderBlockPerGame,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,goalOwn,ranking
175,73,24,false,true,-AMC-AML-AMR-,AM(CLR),England,gb-eng,EPL,31,7,1.032258064516129,0.2903225806451613,0.6129032258064516,0,0.12903225806451613,0.8709677419354839,0.03225806451612903,James Maddison,James,Maddison,137015,Midfielder,14,Leicester,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.003870967741937,2105,0,61
178,77,24,false,true,-DL-ML-,"D(L),M(L)",England,gb-eng,EPL,27,0,1.5555555555555556,0.8888888888888888,0.8518518518518519,0.1111111111111111,1.7407407407407407,0.6666666666666666,0.1111111111111111,Ben Chilwell,Ben,Chilwell,299272,Defender,15,Chelsea,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.003703703703705,2290,0,62
195,88,28,false,true,-GK-,GK,England,ar,EPL,38,0,0.07894736842105263,0.05263157894736842,0.02631578947368421,0,0.3684210526315789,0.02631578947368421,0,Emiliano Martínez,Emiliano,Martínez,102248,Goalkeeper,24,Aston Villa,8228,2020/2021,true,2,252,gb-eng,England,Premier League,7.0005263157894735,3420,0,63
184,78,25,false,true,-DMC-,DMC,England,cm,EPL,36,7,2.1666666666666665,1.5555555555555556,1.2222222222222223,0,0.3888888888888889,1.1388888888888888,0.16666666666666666,André-Frank Zambo Anguissa,André-Frank,Zambo Anguissa,349561,Midfielder,170,Fulham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.985277777777778,2587,0,64
182,80,24,false,true,-MC-,M(C),England,ml,EPL,36,1,2.888888888888889,1.7777777777777777,1.5277777777777777,0,1.7777777777777777,0.9444444444444444,0.16666666666666666,Yves Bissouma,Yves,Bissouma,303096,Midfielder,211,Brighton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.984722222222222,3114,0,65
184,83,24,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,br,EPL,34,1,1.4411764705882353,0.4117647058823529,0.9705882352941176,0,1.0294117647058822,1.0294117647058822,0.08823529411764706,Richarlison,Richarlison,de Andrade,317804,Forward,31,Everton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.982058823529411,2872,0,66
174,66,23,false,true,-AMC-AML-,AM(CL),England,gb-eng,EPL,25,3,0.76,0.32,0.64,0,0.36,0.68,0.12,Harvey Barnes,Harvey,Barnes,331382,Midfielder,14,Leicester,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.975599999999999,1950,0,67
181,71,28,false,true,-DL-ML-,"D(L),M(L)",England,br,EPL,9,1,1.5555555555555556,1.7777777777777777,0.4444444444444444,0.1111111111111111,2,1,0.2222222222222222,Alex Telles,Alex Nicolao,Telles,125793,Defender,32,Man Utd,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.971111111111111,692,0,68
190,79,27,false,true,-DC-DMC-,"D(C),DMC",England,tr,EPL,16,1,2.375,2.1875,1.5625,0,2,1.125,0.1875,Okay Yokuslu,Okay,Yokuslu,93805,Midfielder,175,West Brom,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.96375,1319,0,69
175,70,24,false,true,-AML-AMR-,AM(LR),England,gb-eng,EPL,36,2,1.75,0.4166666666666667,0.7777777777777778,0.027777777777777776,0.5,0.9166666666666666,0.05555555555555555,Jack Harrison,Jack,Harrison,317896,Midfielder,19,Leeds,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.962777777777777,2858,0,70
175,69,25,false,true,-AMC-AML-AMR-,AM(CLR),England,br,EPL,33,3,0.7878787878787878,0.8787878787878788,1.0303030303030303,0,0.42424242424242425,1.2727272727272727,0,Matheus Pereira,Matheus Fellipe,Costa Pereira,297389,Forward,175,West Brom,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.960909090909091,2582,0,71
195,90,29,false,true,-DC-,D(C),England,cm,EPL,10,1,1.4,0.7,1.1,1.2,2.2,0.1,0,Joel Matip,Joel,Matip,74341,Defender,26,Liverpool,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.955,693,0,72
179,76,28,false,true,-DR-MR-,"D(R),M(R)",England,cz,EPL,34,0,2.1470588235294117,1.2058823529411764,0.8529411764705882,0.2647058823529412,2.6470588235294117,1.088235294117647,0.20588235294117646,Vladimir Coufal,Vladimir,Coufal,111372,Defender,29,West Ham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.950000000000001,3055,0,73
187,84,25,false,true,-MC-,M(C),England,dk,EPL,38,0,2.5789473684210527,1.263157894736842,1.8157894736842106,0.02631578947368421,1.6842105263157894,1.9736842105263157,0.23684210526315788,Pierre-Emile Højbjerg,Pierre-Emile,Højbjerg,101859,Midfielder,30,Tottenham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.946315789473684,3420,0,74
185,72,29,false,true,-DC-DR-MR-,"D(CR),M(R)",England,gb-eng,EPL,38,0,2.8421052631578947,0.9473684210526315,0.7631578947368421,0.39473684210526316,2.026315789473684,1,0.9473684210526315,Luke Ayling,Luke,Ayling,82877,Defender,19,Leeds,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.942368421052633,3400,0,75
190,76,35,false,true,-GK-,GK,England,gb-eng,EPL,1,0,0,0,0,0,0,0,0,Scott Carson,Scott,Carson,8155,Goalkeeper,167,Man City,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.94,90,0,76
