height,weight,age,isManOfTheMatch,isActive,playedPositions,playedPositionsShort,teamRegionName,regionCode,tournamentShortName,apps,subOn,tackleWonTotal,tackleTotalAttempted,name,firstName,lastName,playerId,positionText,teamId,teamName,seasonId,seasonName,isOpta,tournamentId,tournamentRegionId,tournamentRegionCode,tournamentRegionName,tournamentName,rating,minsPlayed,challengeLost,ranking
188,82,34,false,true,-GK-,GK,England,fr,EPL,38,0,0,1,Hugo Lloris,Hugo,Lloris,25604,Goalkeeper,30,Tottenham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.7505263157894735,3420,1,174
195,92,30,false,true,-DC-,D(C),England,fr,EPL,21,0,33,44,Willy Boly,Willy,Boly,97587,Defender,161,Wolverhampton Wanderers,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.74904761904762,1880,11,175
198,87,29,false,true,-DC-DL-ML-,"D(CL),M(L)",England,gb-eng,EPL,27,0,50,76,Dan Burn,Dan,Burn,82277,Defender,211,Brighton,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.74888888888889,2060,26,176
190,82,27,false,true,-FW-,FW,England,ci,EPL,16,0,14,30,Sébastien Haller,Sébastien,Haller,236544,Forward,29,West Ham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.748750000000001,935,16,177
183,77,23,false,true,-DC-DR-,D(CR),England,gb-eng,EPL,36,0,25,29,Ezri Konsa,Ezri,Konsa Ngoyo,301440,Defender,24,Aston Villa,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.748055555555556,3193,4,178
175,70,24,false,true,-AMC-AML-AMR-FW-,"AM(CLR),FW",England,gb-eng,EPL,38,0,26,45,Jarrod Bowen,Jarrod,Bowen,322596,Forward,29,West Ham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.747894736842104,2579,19,179
182,80,29,false,true,-DL-DR-MR-,"D(LR),M(R)",England,ie,EPL,17,0,29,49,Matt Doherty,Matt,Doherty,94042,Defender,30,Tottenham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.747647058823531,1239,20,180
185,77,28,false,true,-DR-MC-MR-,"D(R),M(CR)",England,gh,EPL,24,0,44,76,Thomas Partey,Thomas,Partey,238940,Midfielder,13,Arsenal,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.74625,1537,32,181
186,81,24,false,true,-AML-AMR-FW-,"AM(LR),FW",England,br,EPL,31,0,33,56,Joelinton,Joelinton Cássio,Apolinário de Lira,201755,Forward,23,Newcastle United,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.745161290322579,1990,23,182
172,69,22,false,true,-MC-ML-MR-,M(CLR),England,us,EPL,27,0,19,32,Christian Pulisic,Christian,Pulisic,302692,Midfielder,15,Chelsea,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.7444444444444445,1738,13,183
175,74,31,false,true,-ML-MR-,M(LR),England,gb-eng,EPL,31,0,33,62,Marc Albrighton,Marc,Albrighton,42147,Midfielder,14,Leicester,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.744193548387098,1744,29,184
185,82,25,false,true,-DC-,D(C),England,tr,EPL,23,0,28,41,Çaglar Söyüncü,Çaglar,Söyüncü,317998,Defender,14,Leicester,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.743043478260868,1816,13,185
195,94,28,false,true,-GK-,GK,England,fr,EPL,36,0,1,5,Alphonse Areola,Alphonse,Areola,92516,Goalkeeper,170,Fulham,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.742222222222221,3240,4,186
187,89,35,false,true,-DC-DL-ML-,"D(CL),M(L)",England,at,EPL,9,0,18,25,Christian Fuchs,Christian,Fuchs,12431,Defender,14,Leicester,8228,2020/2021,true,2,252,gb-eng,England,Premier League,6.742222222222221,702,7,187
