name,pos_details,total_shots,shots_on_target,total_passes,key_passes,appearances,assists,tackles_won,interceptions,saves,red_cards,yellow_cards,own_goals,total_goals,tournament,mins_played
Luka Milivojevic,Midfielder,19,7,1294,21,31,1,65,35,0,1,8,0,1,Premier League,2365
Aaron Ramsdale,Goalkeeper,0,0,1019,2,38,0,1,2,146,0,1,0,0,Premier League,3420
Nathan Redmond,Midfielder,45,13,697,29,29,3,30,11,0,0,1,0,2,Premier League,1731
Joel Ward,Defender,2,1,818,7,26,1,44,42,0,0,5,0,0,Premier League,2255
RÃºnar Alex RÃºnarsson,Goalkeeper,0,0,9,0,1,0,0,0,2,0,0,0,0,Premier League,16
Kasper Schmeichel,Goalkeeper,0,0,1066,0,38,0,0,0,88,0,0,1,0,Premier League,3420
Kean Bryan,Defender,3,1,447,4,13,0,20,13,0,0,1,1,1,Premier League,1007
Ivan Cavaleiro,Forward,47,17,724,43,36,0,23,19,0,0,2,0,3,Premier League,2476
Alex Iwobi,Forward,15,3,595,16,30,2,27,16,0,0,0,0,1,Premier League,1543
Juan Mata,Midfielder,5,4,286,8,9,2,1,3,0,0,0,0,1,Premier League,510
Jayden Bogle,Defender,17,7,312,4,16,0,33,14,0,0,2,0,2,Premier League,1109
Conor Coady,Defender,7,2,1857,3,37,0,35,27,0,0,5,0,1,Premier League,3304
Jack Stephens,Defender,6,3,1027,6,18,0,34,28,0,0,2,0,0,Premier League,1539
Bobby De Cordova-Reid,Forward,34,9,760,14,33,2,31,21,0,0,7,0,5,Premier League,2383
Marvelous Nakamba,Midfielder,2,1,285,2,13,0,22,17,0,0,3,0,0,Premier League,751
Darren Randolph,Goalkeeper,0,0,61,0,3,0,0,0,6,0,0,0,0,Premier League,270
Olivier Giroud,Forward,29,11,219,6,17,0,4,5,0,0,1,0,4,Premier League,747
Jordan Ayew,Forward,26,11,633,13,33,3,37,17,0,0,4,0,1,Premier League,2098
Mateusz Klich,Midfielder,36,11,1468,44,35,5,38,11,0,0,6,0,4,Premier League,2399
John Fleck,Midfielder,17,5,1139,33,31,2,51,28,0,0,4,0,0,Premier League,2577
Robbie Brady,Midfielder,16,5,351,7,19,1,22,9,0,0,3,0,1,Premier League,1055
Jack Cork,Midfielder,5,0,500,8,16,0,26,16,0,0,2,0,0,Premier League,1353
Robert Snodgrass,Midfielder,4,1,132,3,8,0,17,1,0,0,2,0,0,Premier League,527
Dara O'Shea,Defender,3,0,810,5,28,0,45,45,0,0,3,0,0,Premier League,2102
David Luiz,Defender,15,2,999,2,20,0,12,16,0,1,1,0,1,Premier League,1400
Ruben Loftus-Cheek,Midfielder,35,10,709,17,30,0,25,7,0,0,3,0,1,Premier League,1913
Aleksandar Mitrovic,Forward,59,20,378,23,27,3,7,3,0,0,3,0,3,Premier League,1390
Rui PatrÃ­cio,Goalkeeper,0,0,662,0,37,0,0,1,100,0,1,0,0,Premier League,3330
Alex McCarthy,Goalkeeper,0,0,940,0,30,0,1,0,91,0,2,0,0,Premier League,2700
Steven Bergwijn,Forward,15,6,416,13,21,3,15,5,0,0,3,0,1,Premier League,1214
Neco Williams,Defender,2,0,157,3,6,0,6,6,0,0,1,0,0,Premier League,249
Dele Alli,Midfielder,12,4,330,9,15,1,18,7,0,0,0,0,0,Premier League,619
JÃ³hann Gudmundsson,Midfielder,19,8,437,9,22,0,19,17,0,0,2,0,2,Premier League,1369
Oliver Norwood,Midfielder,11,1,1405,32,32,0,49,36,0,0,6,0,0,Premier League,2226
CÃ©dric Soares,Defender,7,2,364,6,10,1,12,8,0,0,1,0,0,Premier League,745
Ainsley Maitland-Niles,Midfielder,10,3,397,4,15,0,22,17,0,0,2,0,0,Premier League,1233
Joe Gomez,Defender,0,0,556,1,7,0,3,4,0,0,0,0,0,Premier League,590
James Milner,Midfielder,12,3,857,13,26,1,26,14,0,0,3,0,0,Premier League,1062
Emil Krafth,Defender,7,3,455,6,16,0,19,15,0,0,4,0,1,Premier League,1290
David de Gea,Goalkeeper,0,0,501,0,26,0,0,0,60,0,0,0,0,Premier League,2296
Cengiz Ãœnder,Midfielder,9,1,111,6,9,2,4,2,0,0,0,0,0,Premier League,275
Patrick van Aanholt,Defender,18,5,952,12,22,1,35,30,0,0,2,0,0,Premier League,1776
Max Lowe,Defender,2,1,172,2,8,0,26,5,0,0,1,0,0,Premier League,552
Ashley Barnes,Forward,38,13,304,20,22,0,12,5,0,0,4,0,3,Premier League,1337
Jonny,Defender,1,0,183,2,7,0,11,9,0,0,0,0,0,Premier League,501
Tom Davies,Midfielder,7,0,697,6,25,1,31,34,0,0,3,0,0,Premier League,1426
AndrÃ© Gomes,Midfielder,14,3,875,15,28,1,35,10,0,0,3,0,0,Premier League,1568
Vicente Guaita,Goalkeeper,0,0,921,0,37,0,1,1,105,0,2,0,0,Premier League,3330
RÃºben Vinagre,Defender,0,0,80,1,2,0,7,2,0,0,0,0,0,Premier League,172
Adam Lallana,Midfielder,22,5,923,25,30,1,28,15,0,0,0,0,1,Premier League,1592
Virgil van Dijk,Defender,4,2,341,0,5,0,3,5,0,0,1,0,1,Premier League,371
Moussa Sissoko,Midfielder,3,1,761,4,25,0,22,23,0,0,3,0,0,Premier League,1577
Willian JosÃ©,Forward,19,7,298,12,17,0,2,1,0,0,0,0,1,Premier League,1114
Ainsley Maitland-Niles,Midfielder,2,1,251,2,11,0,11,14,0,0,0,0,0,Premier League,486
MarÃ§al,Defender,2,0,301,4,13,0,13,12,0,0,2,0,0,Premier League,622
Alexis Mac Allister,Midfielder,24,3,396,15,21,1,26,9,0,0,1,0,1,Premier League,1117
Erik Pieters,Defender,4,3,472,5,20,1,30,12,0,0,1,1,0,Premier League,1262
Ryan Fredericks,Defender,4,2,226,12,14,1,9,11,0,0,2,0,1,Premier League,567
Daniel Jebbison,Forward,4,2,35,1,4,0,6,1,0,0,0,0,1,Premier League,284
John Ruddy,Goalkeeper,0,0,14,0,2,0,0,0,3,0,0,0,0,Premier League,91
Tyler Roberts,Forward,26,12,462,16,27,2,15,9,0,0,3,0,1,Premier League,1341
Sander Berge,Midfielder,10,2,436,13,15,1,16,4,0,0,4,0,1,Premier League,1120
Mohamed Elneny,Midfielder,9,3,1011,4,23,0,14,24,0,0,3,0,1,Premier League,1542
Takumi Minamino,Forward,13,5,249,5,10,0,7,4,0,0,1,0,2,Premier League,717
